protocol_type,service,flag,src_bytes,dst_bytes,logged_in,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,dst_host_same_srv_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,class
1,30,5,0,0,0,43,31,14,7,1,63,43,0,0,0
1,45,4,1,0,0,0,0,75,0,1,0,0,97,61,0
1,50,9,428,710,1,0,0,33,52,73,0,0,0,0,1
1,45,1,0,0,0,0,0,7,8,3,0,0,97,61,0
1,45,5,0,0,0,43,31,0,7,5,63,43,0,0,0
1,45,5,0,0,0,43,31,12,5,5,63,43,0,0,0
1,50,9,11,716,1,0,0,75,0,76,0,0,0,0,1
1,32,5,0,0,0,43,31,2,6,2,63,43,0,0,0
1,36,5,0,0,0,43,31,11,7,5,63,43,0,0,0
1,22,9,313,749,1,0,0,75,0,100,0,0,0,0,1
1,56,9,287,760,1,0,0,75,0,0,0,0,0,0,1
1,22,9,305,529,1,0,0,75,0,100,0,0,0,0,1
1,45,5,0,0,0,43,31,1,6,7,63,43,0,0,0
1,45,5,0,0,0,43,31,7,7,7,63,43,0,0,0
1,33,5,0,0,0,43,31,6,5,2,63,43,0,0,0
1,22,9,357,1235,1,0,0,75,0,100,0,1,1,3,1
2,11,9,498,152,0,0,0,75,0,92,0,0,0,0,1
1,6,5,0,0,0,43,31,2,5,2,63,43,0,0,0
2,45,9,23,238,0,0,0,57,45,96,0,0,0,0,1
1,45,5,0,0,0,42,31,11,6,2,63,43,0,0,0
1,50,9,115,713,1,0,0,75,0,62,0,0,0,0,1
1,45,5,0,0,0,43,31,13,6,8,63,43,0,0,0
1,22,9,383,1225,1,0,0,75,0,100,0,0,0,0,1
2,40,9,144,24,0,0,0,47,38,2,0,0,0,0,1
1,56,9,15,626,1,0,0,75,0,3,0,0,0,0,1
1,45,5,0,0,0,43,31,2,5,3,63,43,0,0,0
1,22,9,461,1261,1,0,0,75,0,100,0,0,0,0,1
1,22,9,447,548,1,0,0,75,0,100,0,0,0,0,1
1,22,9,447,670,1,0,0,75,0,100,0,0,0,0,1
1,45,5,0,0,0,43,31,11,6,1,63,43,0,0,0
2,40,9,1,0,0,0,0,9,46,0,0,0,54,0,0
1,22,9,402,260,1,0,0,75,0,100,0,0,0,0,1
1,17,9,611,175,0,0,0,75,0,3,0,0,1,0,1
1,22,9,338,831,1,0,0,75,0,100,0,0,0,0,1
2,11,9,411,0,0,0,0,75,0,33,0,0,0,0,1
1,45,5,0,0,0,43,31,6,6,4,63,43,0,0,0
1,22,9,323,507,1,0,0,75,0,100,0,0,0,0,1
1,22,9,427,1155,1,0,0,75,0,100,0,1,0,0,1
1,60,2,0,0,0,0,0,8,8,4,0,0,97,61,0
2,45,9,373,0,0,0,0,75,0,17,2,0,0,0,0
1,56,9,565,486,1,0,0,75,0,14,22,11,0,3,1
2,45,9,1,0,0,0,0,8,26,1,0,0,0,0,0
1,50,9,667,702,1,0,0,75,0,90,0,0,0,0,1
1,62,5,0,0,0,43,31,4,5,5,63,43,0,0,0
1,22,9,246,573,1,0,0,75,0,100,0,0,0,0,1
0,13,9,611,0,0,0,0,75,0,100,0,0,0,0,0
2,11,9,509,1215,0,0,0,75,0,100,0,0,0,0,1
1,22,9,441,378,1,0,0,75,0,100,0,0,0,0,1
1,61,5,0,0,0,43,31,5,6,6,63,43,0,0,0
1,22,9,257,113,1,0,0,75,0,100,0,0,0,0,1
1,27,5,0,0,0,43,31,15,6,7,63,43,0,0,0
2,11,9,501,862,0,0,0,75,0,100,0,0,0,0,1
1,22,9,293,57,1,0,0,75,0,100,0,0,0,0,1
1,22,9,381,566,1,0,0,75,0,100,0,0,0,0,1
1,22,9,426,327,1,0,0,75,0,100,0,0,0,0,1
1,17,5,0,0,0,43,31,28,7,23,63,43,0,0,0
1,22,9,327,611,1,0,0,75,0,100,0,0,0,0,1
1,9,5,0,0,0,43,31,5,7,4,63,43,0,0,0
1,22,9,363,936,1,0,0,75,0,100,4,1,0,0,1
1,45,1,0,0,0,11,0,0,52,0,10,0,82,61,0
1,19,9,18,0,1,0,0,75,0,32,0,0,0,0,1
1,56,9,379,1226,1,0,0,75,0,7,42,0,1,9,1
1,17,2,0,0,0,0,0,3,6,4,0,0,97,61,0
1,45,5,0,0,0,43,31,11,6,0,63,43,0,0,0
1,30,5,0,0,0,43,31,14,6,8,63,43,0,0,0
1,50,9,674,701,1,0,0,47,52,71,0,0,0,0,1
1,17,2,0,0,0,0,0,4,7,4,0,0,97,61,0
1,22,9,299,3,1,0,0,75,0,100,0,0,0,0,1
2,40,9,151,24,0,0,0,75,0,0,0,0,0,0,1
0,13,9,611,0,0,0,0,75,0,100,0,0,0,0,0
1,37,5,0,0,0,43,31,16,6,7,63,43,0,0,0
1,24,5,0,0,0,43,31,2,6,2,63,43,0,0,0
1,50,9,681,707,1,0,0,75,0,68,0,0,0,0,1
1,22,9,317,1067,1,0,0,75,0,100,0,0,0,0,1
1,22,9,294,829,1,0,0,75,0,100,0,0,0,0,1
1,45,5,0,0,0,43,31,8,5,5,63,43,0,0,0
0,14,9,154,0,0,0,0,75,0,100,0,0,0,0,0
1,45,5,0,0,0,43,31,13,6,7,63,43,0,0,0
1,45,5,0,0,0,43,31,4,7,7,63,43,0,0,0
1,45,5,0,0,0,43,31,21,6,7,63,43,0,0,0
1,22,9,267,1275,1,0,0,75,0,100,0,0,0,0,1
1,22,9,392,554,1,0,0,75,0,100,0,0,0,0,1
1,22,1,0,0,0,0,0,75,0,100,0,0,97,61,1
0,14,9,397,0,0,0,0,75,0,100,0,0,0,0,1
1,50,9,674,705,1,0,0,75,0,66,0,0,0,0,1
1,22,9,407,691,1,0,0,75,0,100,0,0,0,0,1
1,22,7,219,593,1,25,31,47,52,85,2,1,0,0,1
1,22,9,426,1040,1,0,0,75,0,100,0,0,0,0,1
1,56,9,372,1281,1,0,0,75,0,45,49,35,0,0,1
1,22,9,387,323,1,0,0,75,0,100,0,0,0,0,1
